LINE,STATION,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Hunter,Sandgate,2012,3/06/2009,No,0,0,20,40,10,10,30,10,0,0,60,60,257,2003
Hunter,Hexham,2012,3/06/2009,No,0,0,20,20,10,10,20,10,0,10,50,50,261,2004
Hunter,Tarro,2012,3/06/2009,No,0,0,10,0,10,0,0,10,0,0,20,20,281,2005
Hunter,Beresfield,2012,3/06/2009,No,0,20,140,60,120,100,70,130,20,40,350,350,202,2006
Hunter,Thornton,2012,3/06/2009,No,0,0,130,50,50,60,50,130,20,10,250,250,222,2007
Hunter,Metford,2012,3/06/2009,No,0,0,70,10,30,60,20,60,10,10,130,130,240,2008
Hunter,Victoria Street,2012,3/06/2009,No,20,0,190,90,160,140,80,190,30,40,480,480,191,2009
Hunter,East Maitland,2012,3/06/2009,No,0,0,30,60,60,50,40,30,20,10,150,150,236,2010
Hunter,High Street,2012,3/06/2009,No,0,0,30,20,20,30,20,30,20,10,90,90,250,2011
Hunter,Maitland,2012,3/06/2009,No,10,10,190,120,230,220,190,260,60,60,680,680,175,2012
Hunter,Telarah,2012,3/06/2009,No,20,10,100,40,80,80,50,90,10,40,260,260,220,2013
Hunter,Mindaribba,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,299,2014
Hunter,Paterson,2012,3/06/2009,No,0,0,10,0,0,0,0,10,0,0,10,10,286,2015
Hunter,Martins Creek,2012,3/06/2009,No,0,0,10,0,0,0,10,10,0,0,20,20,281,2016
Hunter,Hilldale,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,299,2017
Hunter,Wallarobba,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,299,2018
Hunter,Wirragulla,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,299,2019
Hunter,Dungog,2012,3/06/2009,No,0,0,10,0,10,10,10,20,0,10,30,30,275,2020
Hunter,Lochinvar,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,0,0,299,2021
Hunter,Greta,2012,3/06/2009,No,0,0,0,0,0,0,0,10,0,0,10,10,286,2023
Hunter,Branxton,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,286,2024
Hunter,Singleton,2012,3/06/2009,No,0,0,30,20,10,0,10,30,10,10,60,60,257,2026
Hunter,Muswellbrook,2012,3/06/2009,No,0,0,10,0,20,20,0,20,10,0,40,40,270,2027
Hunter,Aberdeen,2012,3/06/2009,No,0,0,0,0,0,0,0,0,0,0,10,10,286,2028
Hunter,Scone,2012,3/06/2009,No,10,0,0,0,0,0,0,10,10,10,20,20,281,2029
CBD,Central,2011,26/05/2011,Yes,840,830,8800,35390,19760,29110,40040,14540,17340,6910,86780,86780,1,101
CBD,Town Hall,2011,25/05/2011,Yes,790,790,5930,40540,14670,20720,41630,13500,18220,5690,81240,81240,2,102
CBD,Wynyard,2011,10/05/2011,Yes,570,540,4230,39060,8380,10130,34300,5990,10230,1990,57710,57710,3,103
CBD,Circular Quay,2011,3/05/2011,Yes,170,170,2300,7980,3350,4910,8370,3020,3020,1120,17210,17210,11,104
CBD,St James,2011,12/05/2011,Yes,80,70,190,4990,1610,2060,4670,710,1540,260,8090,8090,28,105
CBD,Museum,2011,5/05/2011,Yes,100,100,710,6050,1950,2380,6020,1140,1670,800,10450,10450,21,106
CBD,Martin Place,2011,19/05/2011,Yes,190,160,420,13890,2680,3060,11660,1250,3850,440,18800,18800,10,107
CBD,Redfern,2011,17/05/2011,Yes,230,230,3400,9780,5020,7780,11500,3800,3210,1780,23360,23360,6,108
Eastern Suburbs,Kings Cross,2011,2/06/2009,No,110,110,3490,3520,2920,2390,4010,3480,1420,2450,11950,11950,16,201
Eastern Suburbs,Edgecliff,2011,2/06/2009,No,60,70,2930,1690,1710,1550,1760,2390,440,1190,6900,6900,34,202
Eastern Suburbs,Bondi Junction,2011,24/08/2011,Yes,200,200,9300,4140,4460,4630,5090,7360,2050,4770,21100,21100,7,203
Illawarra,Sydenham,2011,2/06/2011,Yes,50,50,1960,1710,1090,800,1950,1790,450,1150,5500,5500,44,301
Illawarra,Tempe,2011,27/05/2008,No,10,10,530,260,280,130,210,490,50,180,1080,1080,153,302
Illawarra,Wolli Creek,2011,10/05/2011,Yes,40,20,1120,290,530,320,290,800,160,710,2140,2140,110,303
Illawarra,Arncliffe,2011,18/08/2010,No,10,10,900,150,330,260,190,820,50,240,1480,1480,136,304
Illawarra,Banksia,2011,3/06/2010,No,10,10,710,90,240,200,130,620,30,210,1120,1120,151,305
Illawarra,Rockdale,2011,10/05/2011,Yes,90,100,5060,860,2640,2070,1670,4310,580,2710,10040,10040,23,306
Illawarra,Kogarah,2011,10/05/2011,Yes,100,100,4310,2990,3840,2200,2690,4110,630,2170,11570,11570,17,307
Illawarra,Carlton,2011,29/05/2008,No,30,10,1120,80,320,230,160,940,20,380,1650,1650,128,308
Illawarra,Allawah,2011,10/05/2011,Yes,20,20,1170,150,450,250,160,1040,30,370,1830,1830,122,309
Illawarra,Hurstville,2011,11/05/2011,Yes,150,150,7370,1960,5190,3910,3380,7180,960,3840,17050,17050,12,310
Illawarra,Penshurst,2011,22/05/2008,No,60,30,1980,180,880,570,220,1760,50,640,3190,3190,78,311
Illawarra,Mortdale,2011,11/05/2011,Yes,40,40,2660,370,1090,680,490,2320,130,1000,4410,4410,54,312
Illawarra,Oatley,2011,11/05/2011,Yes,20,10,1070,190,420,360,170,970,40,180,1720,1720,125,313
Illawarra,Como,2011,27/05/2008,No,10,10,700,20,160,90,30,600,10,190,910,910,164,314
Illawarra,Jannali,2011,31/03/2011,Yes,30,30,2180,240,720,480,300,1870,60,670,3290,3290,75,315
Illawarra,Sutherland,2011,19/05/2009,No,110,60,4080,970,1450,1250,990,3470,220,1110,6850,6850,35,316
Illawarra,Kirrawee,2011,7/06/2011,Yes,20,10,770,200,260,230,260,710,60,240,1370,1370,140,317
Illawarra,Gymea,2011,3/06/2010,No,30,10,1100,280,460,350,170,860,50,320,1810,1810,123,318
Illawarra,Miranda,2011,21/05/2008,No,60,30,1260,640,1010,1020,970,1380,150,390,3450,3450,69,319
Illawarra,Caringbah,2011,28/05/2008,No,50,30,1480,1030,1090,720,590,1020,150,560,3360,3360,72,320
Illawarra,Woolooware,2011,12/08/2009,No,20,10,730,140,210,150,150,630,30,210,1140,1140,150,321
Illawarra,Cronulla,2011,5/04/2011,Yes,40,20,1310,310,630,570,540,1240,110,470,2630,2630,93,322
Illawarra,Loftus,2011,13/05/2009,No,10,10,490,210,210,170,270,480,70,170,1050,1050,157,323
Illawarra,Engadine,2011,21/05/2008,No,30,10,870,290,290,210,300,740,40,270,1530,1530,132,324
Illawarra,Heathcote,2011,20/05/2008,No,20,10,400,260,290,110,90,320,10,100,810,810,171,325
Illawarra,Waterfall,2011,5/05/2009,No,10,0,310,20,80,70,30,260,10,90,440,440,194,326
Airport,Green Square,2011,12/05/2011,Yes,0,0,610,1870,420,460,1880,500,140,210,3050,3050,84,401
Airport,Mascot,2011,12/05/2011,Yes,10,80,740,2510,650,660,2510,740,470,390,4380,4380,55,402
Airport,Domestic Airport,2011,12/05/2011,Yes,20,150,860,1120,1610,1720,1640,1750,1030,420,5160,5160,49,403
Airport,International Airport,2011,12/05/2011,Yes,10,120,520,770,630,730,570,320,350,140,2080,2080,114,404
East Hills,Turrella,2011,20/08/2009,No,0,10,310,100,90,70,130,300,40,100,570,570,181,501
East Hills,Bardwell Park,2011,17/05/2011,Yes,10,10,810,70,330,260,110,700,30,240,1290,1290,144,502
East Hills,Bexley North,2011,8/06/2011,Yes,10,10,600,40,230,140,70,610,30,150,940,940,161,503
East Hills,Kingsgrove,2011,17/05/2011,Yes,20,20,1380,920,790,500,750,1280,170,390,3110,3110,80,504
East Hills,Beverly Hills,2011,21/05/2009,No,60,10,1430,390,430,270,430,1280,60,470,2410,2410,97,505
East Hills,Narwee,2011,20/08/2009,No,10,10,1040,80,230,180,130,850,20,330,1430,1430,138,506
East Hills,Riverwood,2011,17/05/2011,Yes,70,30,2340,310,850,710,430,1890,100,840,3790,3790,61,507
East Hills,Padstow,2011,10/08/2011,Yes,50,30,2460,370,520,640,430,1960,60,530,3520,3520,65,508
East Hills,Revesby,2011,18/05/2011,Yes,50,40,2090,370,1330,870,840,2340,260,950,4570,4570,52,509
East Hills,Panania,2011,18/05/2011,Yes,40,10,800,530,340,190,480,710,40,260,1700,1700,126,510
East Hills,East Hills,2011,18/05/2011,Yes,30,10,700,110,170,170,130,600,30,170,1060,1060,155,511
East Hills,Holsworthy,2011,18/05/2011,Yes,40,30,2700,210,500,270,290,2050,120,1070,3650,3650,63,512
East Hills,Glenfield,2011,5/04/2011,Yes,80,40,2930,790,580,440,890,2450,110,880,4590,4590,51,513
East Hills,Macquarie Fields,2011,5/05/2011,Yes,20,10,680,60,250,140,80,640,40,210,1070,1070,154,514
East Hills,Ingleburn,2011,25/08/2010,No,130,30,2060,580,750,780,730,1800,150,640,3820,3820,60,515
East Hills,Minto,2011,17/08/2011,Yes,80,30,2250,250,760,790,420,1990,160,610,3670,3670,62,516
East Hills,Leumeah,2011,5/05/2011,Yes,60,30,2040,190,630,420,290,1790,80,660,3100,3100,82,517
East Hills,Campbelltown,2011,24/08/2010,No,100,50,2970,910,1050,1090,1320,2590,280,1090,5720,5720,43,518
East Hills,Macarthur,2011,25/05/2010,No,60,30,1150,670,990,860,600,1140,270,370,3070,3070,83,519
Bankstown,Erskineville,2011,22/05/2008,No,20,20,1030,330,390,330,440,950,120,370,2000,2000,118,601
Bankstown,St Peters,2011,2/06/2011,Yes,30,30,1580,670,500,450,700,1220,170,620,2980,2980,87,602
Bankstown,Marrickville,2011,7/05/2009,No,40,40,1640,570,1250,960,950,1870,260,700,4140,4140,57,603
Bankstown,Dulwich Hill,2011,20/05/2008,No,20,20,1210,230,520,320,250,1100,80,410,2080,2080,114,604
Bankstown,Hurlstone Park,2011,8/06/2011,Yes,10,10,800,100,320,230,130,700,30,260,1290,1290,144,605
Bankstown,Canterbury,2011,19/05/2009,No,30,20,790,680,940,550,430,760,90,290,2280,2280,99,606
Bankstown,Campsie,2011,27/05/2010,No,70,60,2980,790,2060,1670,1460,3180,450,1310,7020,7020,33,607
Bankstown,Belmore,2011,2/06/2011,Yes,40,20,1240,300,700,610,450,1370,50,180,2480,2480,95,608
Bankstown,Lakemba,2011,21/05/2009,No,60,30,1580,430,1510,1070,620,1810,120,560,3890,3890,59,609
Bankstown,Wiley Park,2011,26/05/2009,No,20,20,1060,210,620,480,230,950,40,320,1970,1970,119,610
Bankstown,Punchbowl,2011,9/06/2011,Yes,40,20,1630,350,770,840,370,1370,90,310,2900,2900,89,611
Bankstown,Bankstown,2011,2/06/2011,Yes,150,70,2850,1530,2510,2560,2060,2920,680,1170,8250,8250,27,612
Bankstown,Yagoona,2011,27/05/2009,No,30,20,1170,160,430,390,220,1020,60,330,1910,1910,121,613
Bankstown,Birrong,2011,8/06/2011,Yes,10,10,420,280,300,170,260,460,50,110,1040,1040,158,614
Bankstown,Berala,2011,24/08/2010,No,20,20,1430,140,450,440,280,1290,50,340,2230,2230,101,615
Bankstown,Regents Park,2011,26/08/2010,No,40,20,780,760,420,300,820,750,90,310,2150,2150,108,616
Bankstown,Sefton,2011,26/08/2010,No,10,10,500,410,150,140,460,510,60,110,1180,1180,148,617
Bankstown,Chester Hill,2011,5/05/2011,Yes,30,10,780,320,350,390,340,670,60,160,1560,1560,131,618
Bankstown,Leightonfield,2011,25/08/2010,No,0,0,30,100,50,50,110,60,40,10,230,230,226,619
Bankstown,Villawood,2011,26/08/2010,No,10,10,260,130,210,210,160,260,40,80,680,680,175,620
Bankstown,Carramar,2011,5/05/2011,Yes,10,10,290,40,220,180,40,270,10,90,570,570,181,621
South,Flemington,2011,19/08/2009,No,30,30,1250,740,1040,680,740,1310,150,440,3210,3210,77,701
South,Lidcombe,2011,10/05/2011,Yes,100,100,4770,1650,2500,2010,2280,4000,640,2550,10290,10290,22,702
South,Merrylands,2011,14/05/2009,No,100,50,2720,840,1520,1660,1300,2500,240,830,5880,5880,42,703
South,Guildford,2011,17/05/2011,Yes,50,30,1790,210,830,700,310,1650,130,530,3110,3110,80,704
South,Yennora,2011,15/09/2010,No,20,10,390,290,160,190,370,390,100,150,1040,1040,158,705
South,Fairfield,2011,11/08/2011,Yes,140,70,3490,1080,2220,1910,1440,3340,400,1290,7690,7690,30,706
South,Canley Vale,2011,24/08/2010,No,50,30,1630,270,900,610,300,1510,80,550,2960,2960,88,707
South,Cabramatta,2011,9/08/2011,Yes,160,80,4200,1010,2610,2840,1890,4200,580,1310,9440,9440,25,708
South,Warwick Farm,2011,18/08/2009,No,40,20,1090,320,530,380,390,1080,100,350,2150,2150,108,709
South,Liverpool,2011,8/06/2011,Yes,150,70,2450,2140,2380,2090,2430,2460,430,1080,7840,7840,29,710
South,Casula,2011,8/06/2011,Yes,0,0,150,20,40,30,30,130,10,50,230,230,226,711
Olympic Park,Olympic Park,2011,11/10/2011,Yes,0,0,60,1280,300,720,1630,70,240,140,2230,2230,101,801
Western,Auburn,2011,24/08/2011,Yes,130,50,4050,1610,3150,2630,2450,4190,840,2130,10620,10620,20,901
Western,Clyde,2011,19/08/2009,No,10,10,170,290,130,190,260,150,120,50,690,690,173,902
Western,Granville,2011,7/06/2011,Yes,100,50,2370,1000,1500,1170,1110,2240,390,1010,5470,5470,46,903
Western,Harris Park,2011,10/08/2011,Yes,10,20,760,270,380,320,340,720,90,270,1580,1580,130,904
Western,Parramatta,2011,22/09/2011,Yes,620,310,6750,12630,7290,7300,14030,8560,4530,4430,33220,33220,4,905
Western,Westmead,2011,7/06/2011,Yes,120,60,2650,2040,1490,1240,2130,2120,350,1280,6740,6740,37,906
Western,Wentworthville,2011,17/05/2011,Yes,60,30,1920,190,650,490,290,1700,80,600,3000,3000,86,907
Western,Pendle Hill,2011,6/04/2011,Yes,60,30,2100,430,580,450,520,1820,100,650,3360,3360,72,908
Western,Toongabbie,2011,26/08/2008,No,40,20,1190,210,510,530,300,1000,70,350,2110,2110,113,909
Western,Seven Hills,2011,5/04/2011,Yes,120,50,3620,970,1220,990,910,3100,210,960,6080,6080,41,910
Western,Blacktown,2011,7/06/2011,Yes,280,140,6340,2860,3890,3530,3810,6620,1140,2320,15460,15460,13,911
Western,Marayong,2011,17/05/2011,Yes,20,10,630,140,160,160,200,560,50,200,1060,1060,155,912
Western,Quakers Hill,2011,22/09/2011,Yes,60,0,1970,360,550,410,400,1630,70,650,3050,3050,84,913
Western,Schofields,2011,19/08/2009,No,20,10,400,30,100,60,40,340,10,130,570,570,181,914
Western,Riverstone,2011,10/08/2010,No,30,10,430,120,180,160,150,410,40,140,830,830,169,915
Western,Vineyard,2011,5/08/2010,No,0,0,30,30,30,30,30,30,10,10,100,100,246,916
Western,Mulgrave,2011,5/08/2010,No,10,0,160,70,40,40,80,140,20,50,310,310,206,917
Western,Windsor,2011,19/08/2009,No,20,10,390,100,270,220,160,320,30,220,870,870,166,918
Western,Clarendon,2011,7/04/2011,Yes,0,0,30,10,10,20,30,50,10,10,80,80,253,919
Western,East Richmond,2011,7/04/2011,Yes,10,0,140,170,160,130,110,120,60,50,480,480,190,920
Western,Richmond,2011,3/08/2010,No,30,0,470,90,280,230,110,440,30,160,920,920,162,921
Western,Doonside,2011,2/06/2010,No,50,20,1620,310,710,430,320,1520,60,480,2760,2760,92,922
Western,Rooty Hill,2011,17/05/2011,Yes,50,30,2000,380,850,670,440,1800,100,550,3440,3440,70,923
Western,Mount Druitt,2011,27/08/2008,No,140,70,4570,680,1800,1400,830,3900,210,1500,7550,7550,31,924
Western,St Marys,2011,22/09/2011,Yes,60,20,2140,820,920,790,980,1960,170,680,4270,4270,56,925
Western,Werrington,2011,31/03/2011,Yes,20,10,710,90,280,200,120,620,20,230,1150,1150,149,926
Western,Kingswood,2011,9/06/2011,Yes,40,20,1080,370,540,510,460,960,100,350,2220,2220,103,927
Western,Penrith,2011,8/06/2011,Yes,260,60,3140,1510,2120,1520,1470,3140,260,1010,7250,7250,32,928
Western,Emu Plains,2011,28/08/2008,No,30,20,1160,250,460,230,270,1080,50,400,1970,1970,119,929
Carlingford,Rosehill,2011,20/05/2010,No,0,0,40,30,10,10,40,40,10,20,100,100,246,1001
Carlingford,Camellia,2011,9/06/2010,No,0,0,0,30,10,10,30,10,10,0,50,50,262,1002
Carlingford,Rydalmere,2011,3/08/2010,No,0,0,20,150,30,70,140,20,50,10,240,240,224,1003
Carlingford,Dundas,2011,5/08/2010,No,10,0,180,10,50,10,10,170,0,50,250,250,220,1004
Carlingford,Telopea,2011,27/05/2010,No,10,0,180,10,60,20,70,220,10,50,330,330,204,1005
Carlingford,Carlingford,2011,20/05/2010,No,10,0,230,110,60,40,110,190,20,80,430,430,196,1006
Inner West,Macdonaldtown,2011,13/08/2009,No,10,10,420,210,160,170,180,300,70,150,840,840,168,1101
Inner West,Newtown,2011,20/08/2009,No,60,60,2310,1230,1810,1390,1280,1970,670,1480,6130,6130,40,1102
Inner West,Stanmore,2011,9/08/2011,Yes,20,30,2100,630,520,390,710,1640,80,740,3430,3430,71,1103
Inner West,Petersham,2011,20/05/2008,No,20,30,1380,820,940,590,680,1300,150,450,3170,3170,79,1104
Inner West,Lewisham,2011,12/08/2009,No,20,20,1050,490,470,340,500,940,120,360,2160,2160,107,1105
Inner West,Summer Hill,2011,15/09/2011,Yes,30,30,2190,370,630,640,530,1650,90,770,3470,3470,68,1106
Inner West,Ashfield,2011,28/05/2008,No,100,100,4820,1770,2820,2310,2370,4450,780,2260,10890,10890,19,1107
Inner West,Croydon,2011,22/05/2008,No,20,20,1190,470,450,410,470,860,80,440,2210,2210,105,1108
Inner West,Burwood,2011,10/05/2011,Yes,130,130,4720,2920,3680,3240,4180,5160,1140,2400,13850,13850,15,1109
Inner West,Strathfield,2011,10/05/2011,Yes,190,190,7770,3940,5400,4080,5170,7550,2130,4900,20660,20660,8,1110
Inner West,Homebush,2011,11/08/2009,No,20,20,1080,530,590,530,590,990,110,320,2390,2390,98,1111
Northern via Strathfield,North Strathfield,2011,16/09/2010,No,20,20,1220,580,340,260,740,1180,130,410,2450,2450,96,1201
Northern via Strathfield,Concord West,2011,9/06/2011,Yes,20,20,1090,500,320,340,650,1040,170,350,2250,2250,100,1202
Northern via Strathfield,Rhodes,2011,29/03/2011,Yes,50,50,1630,2080,1010,840,1900,1260,660,1020,5250,5250,48,1203
Northern via Strathfield,Meadowbank,2011,10/08/2011,Yes,30,30,1870,810,610,720,500,1330,250,360,3260,3260,76,1204
Northern via Strathfield,West Ryde,2011,25/08/2011,Yes,90,50,2610,860,1360,1240,1080,2500,350,840,5490,5490,45,1205
Northern via Strathfield,Denistone,2011,31/03/2011,Yes,0,0,300,20,110,60,40,280,10,90,460,460,192,1206
Northern via Strathfield,Eastwood,2011,2/06/2010,No,110,60,3420,850,1610,1480,1150,2770,280,1420,6570,6570,38,1207
Northern via Strathfield,Epping,2011,25/08/2011,Yes,160,80,5430,1600,1710,1340,2000,4480,600,2390,9900,9900,24,1208
Northern via Macquarie Park,North Ryde,2011,21/09/2011,Yes,0,0,190,820,300,240,830,260,130,140,1450,1450,137,1301
Northern via Macquarie Park,Macquarie Park,2011,21/09/2011,Yes,30,30,340,2290,430,560,2240,440,470,200,3510,3510,66,1302
Northern via Macquarie Park,Macquarie University,2011,5/05/2010,No,80,80,860,2690,2310,3430,3830,1620,1430,700,8510,8510,26,1303
Northern via Macquarie Park,Cheltenham,2011,9/06/2011,Yes,10,10,680,390,320,80,290,650,10,190,1310,1310,142,1304
Northern via Macquarie Park,Beecroft,2011,25/08/2011,Yes,30,20,1470,130,330,300,200,1180,40,440,2070,2070,116,1305
Northern via Macquarie Park,Pennant Hills,2011,21/05/2009,No,50,20,1860,570,570,480,750,1720,80,530,3310,3310,74,1306
Northern via Macquarie Park,Thornleigh,2011,6/04/2011,Yes,40,20,1320,180,410,360,280,1150,70,410,2120,2120,112,1307
Northern via Macquarie Park,Normanhurst,2011,9/06/2011,Yes,20,10,760,410,280,150,220,500,20,230,1300,1300,143,1308
North Shore,Milsons Point,2011,5/04/2011,Yes,60,60,2240,2260,1400,1320,2390,1880,670,1260,6760,6760,36,1401
North Shore,North Sydney,2011,7/04/2011,Yes,270,250,1930,17900,4930,5130,17060,2820,3920,1990,28110,28110,5,1402
North Shore,Waverton,2011,12/08/2010,No,20,20,1140,260,410,310,360,870,90,560,2020,2020,117,1403
North Shore,Wollstonecraft,2011,6/05/2009,No,20,20,1420,130,450,320,250,1100,80,640,2220,2220,103,1404
North Shore,St Leonards,2011,12/05/2009,No,150,150,2950,7650,2850,2940,7590,3060,1740,1480,15280,15280,14,1405
North Shore,Artarmon,2011,19/08/2008,No,70,40,2610,660,1000,900,800,2130,240,1000,4720,4720,50,1406
North Shore,Chatswood,2011,20/09/2011,Yes,180,180,4530,7000,4460,4880,8290,5190,2450,2670,19910,19910,9,1407
North Shore,Roseville,2011,26/05/2009,No,20,20,1610,350,500,560,550,1260,170,670,2850,2850,90,1408
North Shore,Lindfield,2011,16/08/2011,Yes,30,30,2140,460,670,610,550,1880,140,560,3530,3530,64,1409
North Shore,Killara,2011,9/08/2011,Yes,10,20,1400,250,360,330,290,1160,80,380,2140,2140,110,1410
North Shore,Gordon,2011,17/08/2011,Yes,50,50,3400,1260,990,900,1610,2910,280,1200,6330,6330,39,1411
North Shore,Pymble,2011,20/08/2008,No,20,20,1360,770,520,250,800,1490,150,320,2850,2850,90,1412
North Shore,Turramurra,2011,19/05/2009,No,30,30,2530,590,790,570,630,2230,110,680,4090,4090,58,1413
North Shore,Warrawee,2011,17/08/2010,No,10,10,690,400,110,120,460,520,10,240,1280,1280,146,1414
North Shore,Wahroonga,2011,20/05/2009,No,30,20,1210,530,270,330,630,920,50,390,2190,2190,106,1415
North Shore,Waitara,2011,25/08/2011,Yes,50,20,1790,1000,720,340,880,1610,70,540,3510,3510,66,1416
North Shore,Hornsby,2011,20/09/2011,Yes,200,100,5040,2230,2470,2440,3080,4710,700,2000,11490,11490,18,1417
North Shore,Asquith,2011,9/08/2011,Yes,30,10,760,580,580,150,120,550,40,230,1530,1530,132,1418
North Shore,Mount Colah,2011,18/05/2010,No,30,0,460,20,90,140,20,340,0,100,600,600,180,1419
North Shore,Mount Kuring-gai,2011,2/08/2011,Yes,10,0,190,40,70,60,40,170,10,50,320,320,205,1420
North Shore,Berowra,2011,2/08/2011,Yes,40,0,1330,70,200,410,160,960,30,330,1760,1760,124,1421
South Coast,Helensburgh,2011,21/05/2009,No,30,10,710,20,90,190,30,530,10,140,870,870,166,1501
South Coast,Otford,2011,2/06/2010,No,0,0,50,10,10,10,10,50,0,10,70,70,254,1502
South Coast,Stanwell Park,2011,3/06/2010,No,10,0,150,0,10,10,0,130,0,20,170,170,234,1503
South Coast,Coalcliff,2011,19/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,285,1504
South Coast,Scarborough,2011,26/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,285,1505
South Coast,Wombarra,2011,27/05/2010,No,0,0,40,0,10,0,0,30,0,10,50,50,262,1506
South Coast,Coledale,2011,20/05/2010,No,10,0,30,0,10,0,0,40,0,10,50,50,262,1507
South Coast,Austinmer,2011,4/08/2011,Yes,0,0,130,0,10,20,10,80,0,50,150,150,239,1508
South Coast,Thirroul,2011,2/06/2009,No,30,10,600,70,180,120,90,540,20,180,920,920,162,1509
South Coast,Bulli,2011,26/05/2009,No,20,0,150,150,70,60,140,120,10,40,390,390,197,1510
South Coast,Woonona,2011,28/05/2009,No,10,0,160,50,50,50,50,140,10,50,280,280,211,1511
South Coast,Bellambi,2011,20/05/2009,No,10,0,130,40,90,60,40,140,10,40,280,280,211,1512
South Coast,Corrimal,2011,28/05/2009,No,20,0,130,60,80,60,60,140,10,50,300,300,208,1513
South Coast,Towradgi,2011,27/05/2009,No,0,0,70,10,40,40,20,60,0,20,130,130,242,1514
South Coast,Fairy Meadow,2011,26/05/2009,No,10,0,100,30,30,40,40,90,10,30,190,190,233,1515
South Coast,North Wollongong,2011,14/05/2009,No,50,10,240,680,560,420,400,250,240,150,1490,1490,134,1516
South Coast,Wollongong,2011,9/06/2011,Yes,160,20,790,500,880,790,530,720,250,570,2610,2610,94,1517
South Coast,Coniston,2011,13/05/2009,No,30,0,200,130,100,80,140,210,30,80,500,500,188,1518
South Coast,Lysaghts,2011,9/06/2010,No,0,0,0,10,0,0,10,0,0,0,10,10,285,1519
South Coast,Cringila,2011,10/06/2010,No,0,0,0,20,20,10,20,20,10,0,50,50,262,1520
South Coast,Port Kembla North,2011,5/08/2010,No,0,0,20,20,10,10,30,30,10,10,70,70,254,1521
South Coast,Port Kembla,2011,4/08/2010,No,10,0,40,50,50,30,50,70,20,10,170,170,234,1522
South Coast,Unanderra,2011,19/05/2009,No,40,20,180,130,90,100,160,180,40,70,510,510,186,1523
South Coast,Kembla Grange Racecourse,2011,15/02/1996,No,0,0,0,0,0,0,0,0,0,0,0,0,298,1524
South Coast,Dapto,2011,12/08/2009,No,60,10,300,70,150,210,80,220,30,120,620,620,178,1525
South Coast,Albion Park,2011,14/08/2008,No,20,0,110,20,40,50,70,110,10,60,250,250,220,1526
South Coast,Oak Flats,2011,11/08/2009,No,40,0,140,70,80,70,80,100,20,100,360,360,200,1527
South Coast,Dunmore (Shellharbour),2011,21/08/2008,No,0,0,20,0,0,0,0,20,0,10,20,20,280,1528
South Coast,Minnamurra,2011,5/08/2008,No,10,0,40,10,20,30,30,50,0,20,100,100,246,1529
South Coast,Bombo,2011,5/08/2008,No,0,0,10,0,10,0,0,20,10,0,30,30,273,1530
South Coast,Kiama,2011,19/08/2008,No,10,0,140,60,170,150,100,150,40,90,460,460,192,1531
South Coast,Gerringong,2011,7/08/2008,No,0,0,40,0,10,20,10,40,10,10,70,70,254,1532
South Coast,Berry,2011,7/08/2008,No,10,0,30,10,10,20,20,30,0,10,70,70,254,1533
South Coast,Bomaderry (Nowra),2011,7/08/2008,No,30,10,140,30,80,100,80,140,10,70,340,340,203,1534
Southern Highlands,Menangle Park,2011,25/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,285,1601
Southern Highlands,Menangle,2011,25/05/2010,No,0,0,10,0,0,0,10,10,0,0,20,20,280,1602
Southern Highlands,Douglas Park,2011,25/05/2010,No,10,0,40,0,0,10,0,20,0,20,50,50,262,1603
Southern Highlands,Picton,2011,25/05/2010,No,10,0,160,20,60,30,30,140,0,80,260,260,215,1604
Southern Highlands,Tahmoor,2011,25/05/2010,No,30,10,80,20,60,40,30,80,10,60,210,210,230,1605
Southern Highlands,Bargo,2011,25/05/2010,No,10,0,40,10,40,10,10,50,0,30,100,100,246,1606
Southern Highlands,Yerrinbool,2011,25/05/2010,No,0,0,20,0,10,10,0,20,0,20,30,30,273,1607
Southern Highlands,Mittagong,2011,25/05/2010,No,10,0,80,30,30,40,30,70,10,30,160,160,236,1608
Southern Highlands,Bowral,2011,25/05/2010,No,10,0,90,40,80,80,80,100,0,50,260,260,215,1609
Southern Highlands,Burradoo,2011,25/05/2010,No,0,0,0,0,0,0,0,0,0,0,10,10,285,1610
Southern Highlands,Moss Vale,2011,25/05/2010,No,30,10,80,50,100,100,40,60,10,30,260,260,215,1611
Southern Highlands,Exeter,2011,25/05/2010,No,0,0,10,0,0,0,0,10,0,0,10,10,285,1612
