name,juanita,hugh
/vampire-weekend/cousins-radio-single/cousins,,1.0
/vampire-weekend/mansard-roof-ep/ladies-of-cambridge,,1.0
/vampire-weekend/vampire-weekend/1-blakes-got-new-face,,1.0
/vampire-weekend/vampire-weekend/bryn,,1.0
/vampire-weekend/vampire-weekend/campus,,1.0
/vampire-weekend/vampire-weekend/kids-dont-stand-chance,,1.0
/vampire-weekend/vampire-weekend/oxford-comma,,1.0
/vampire-weekend/vampire-weekend/punk,,1.0
/vampire-weekend/vampire-weekend/walcott,,1.0
/velvet/fix-me/radio-edit,5.0,1.0
/waka-flocka-flame/triple-f-life-fans-friends-family/i-dont-really-care,1.0,
/weezer/weezer/say-it-aint-so,,1.0
/white-stripes/elephant/7-nation-army,,1.0
/william/willpower/scream-shout,,1.0
/wisin-yandel/lideres/prende,,1.0
/wisin-yandel/lideres/vengo-acabando,,1.0
/wisin-yandel/los-vaqueros-el-regreso/tumbao,,1.0
/wisin/sistema-single/sistema,,1.0
/wiz-khalifa/blacc-hollywood-explicit/so-high-feat-ghost-loft,1.0,1.0
/wiz-khalifa/blacc-hollywood-explicit/we-dem-boyz,,1.0
/wiz-khalifa/onifc/medicated,1.0,1.0
/wiz-khalifa/onifc/work-hard-play-hard,,1.0
/wiz-khalifa/rolling-papers-explicit/no-sleep,,1.0
/xx/xx/intro,,1.0
/yellow-claw-tropkillaz/amsterdam-twerk-music/assets-feat-kemist,,1.0
/yellow-claw/amsterdam-twerk-music/dj-turn-it-up,,1.0
/yellow-claw/amsterdam-twerk-music/pussyrich,,1.0
/young-money/trophies-single/trophies,,
/zannon/phwoar-ep/phwoar,,1.0
/zion-lennox/los-verdaderos/detective-de-tu-amor,4.0,1.0
/zion-lennox/los-verdaderos/me-desvelo,,1.0
